vehicle_age,engine_cc,vehicle_value,safety_features,anti_theft,fuel_type,driver_age,driving_experience,license_age,previous_accidents,previous_claims,traffic_violations,usage_type,annual_mileage,previous_insurance,policy_lapses,claim_occurred
6,1500,2035496,0,0,0,20,2,1,1,0,1,0,39183,0,0,1
19,2000,1411649,0,0,0,19,0,0,0,0,2,3,17730,0,1,1
14,1000,542720,0,1,1,29,7,6,1,0,0,0,42475,1,0,0
10,1500,4253089,1,0,0,41,19,18,0,0,0,0,43052,1,1,1
7,1500,629649,0,1,2,35,17,17,0,0,0,0,38579,1,0,0
6,1200,4506459,0,0,0,73,52,51,0,0,1,3,25490,1,0,1
18,1200,3326526,1,0,4,53,32,31,0,0,0,1,34870,0,0,0
10,1200,677150,1,0,2,42,22,22,0,0,0,1,8443,0,0,0
10,1000,4326088,1,0,1,69,50,49,1,0,2,0,48636,0,0,1
3,1000,4871586,0,0,0,32,12,11,2,0,0,4,16476,1,0,1
7,1000,2461594,1,1,1,18,0,0,0,0,1,0,13371,1,0,0
2,1500,2825076,1,0,0,25,5,5,0,0,0,0,2136,0,0,0
1,1500,1327236,0,0,1,66,45,44,1,1,0,0,7185,1,0,0
11,2500,2028207,1,0,0,54,32,31,0,0,0,1,15819,0,0,0
5,1500,2591796,0,0,2,24,6,5,0,0,0,0,17895,1,0,0
1,800,3962391,1,1,0,52,32,31,1,1,0,0,13736,1,0,0
0,2000,882275,1,1,1,55,33,32,1,1,0,0,6932,1,0,0
11,2000,1004990,1,0,2,62,40,39,0,1,0,0,45167,1,0,0
11,1200,1061632,0,1,1,33,15,14,1,0,0,2,46637,1,1,0
16,1500,1790852,0,0,0,34,16,16,0,0,0,0,28573,1,0,0
9,3000,3165559,0,0,0,55,33,32,0,1,1,0,39365,1,0,0
15,1500,2703752,0,0,1,47,25,24,1,0,0,0,6624,1,0,0
14,2500,1516028,1,1,0,54,34,34,1,0,0,0,58569,1,1,0
14,800,1468826,1,0,0,35,15,15,0,0,1,0,12441,1,0,0
18,1000,801554,1,0,0,53,34,33,0,1,0,0,22833,0,0,0
11,1200,1098001,0,0,1,29,10,10,0,0,0,3,49314,1,0,0
19,1500,4881742,0,0,0,45,23,23,0,0,1,0,21411,1,0,1
2,2000,3345838,1,0,4,65,46,45,0,0,0,0,11163,1,0,0
4,3000,3393307,0,0,0,28,6,6,2,1,0,0,48180,1,2,1
18,1200,452721,0,1,1,60,42,42,0,0,0,0,34885,0,1,0
6,800,1182564,1,0,0,72,54,53,1,0,0,3,52921,0,0,0
8,2000,2497649,0,0,4,23,3,2,0,0,1,2,13993,1,0,1
6,1500,3855495,1,1,0,43,22,21,0,0,0,1,45895,0,0,0
17,1000,2511584,0,1,0,33,11,10,0,0,3,2,15514,0,0,0
3,1200,1793488,1,0,0,55,35,34,0,2,0,0,25689,1,1,0
13,1500,1221372,1,0,0,26,7,7,0,0,1,0,5272,1,0,0
17,2000,3487002,1,1,1,35,13,12,0,1,0,2,18154,1,0,1
8,1200,3871297,0,0,1,50,30,29,0,0,1,0,26201,1,1,0
1,1200,3476381,0,0,0,67,48,48,0,0,0,0,49647,1,0,0
19,3000,1606159,1,0,1,36,14,14,0,0,0,4,10708,1,0,0
14,1500,905978,0,1,1,26,6,6,0,0,0,1,39595,1,0,0
6,1200,662757,0,0,4,63,42,42,0,0,0,2,16985,1,0,0
11,1200,4930981,0,0,0,61,41,40,0,0,1,0,53465,1,1,0
7,1500,3919258,1,0,0,59,37,36,0,0,0,0,43443,0,0,0
14,1000,2289150,1,1,0,26,7,7,0,0,0,1,41213,0,0,0
2,1000,1989575,0,0,0,61,39,38,1,0,0,0,5130,1,0,0
13,1500,3822909,1,1,1,22,0,0,3,0,0,0,38659,1,0,1
16,1200,2750231,1,1,1,40,20,20,1,0,0,3,25294,1,1,1
3,1500,3982027,1,0,0,68,46,45,0,0,0,0,30935,1,0,0
17,1000,4535025,1,1,1,59,41,41,0,0,1,0,34654,1,0,0
7,1500,1122501,1,0,0,51,30,30,1,0,0,0,58390,1,0,0
3,1200,1663990,0,1,0,55,36,36,1,0,0,0,49344,0,1,0
1,800,311227,1,1,0,39,18,18,0,0,0,1,21274,1,0,0
5,1000,3776177,1,1,1,22,2,1,1,0,1,0,28399,1,0,1
9,2500,2712947,1,1,1,18,0,0,1,0,0,0,29635,1,0,0
3,2000,613476,0,1,1,43,25,24,1,1,0,0,56620,1,0,0
17,1000,4694257,0,0,4,35,15,14,0,0,0,0,22793,1,1,0
11,2000,4388039,0,0,1,72,52,52,0,0,1,3,8086,0,0,0
1,1500,4275712,1,0,0,43,23,22,0,2,0,1,59036,1,0,1
9,3000,1557550,1,0,0,32,11,11,1,1,2,0,6646,1,0,0
3,1200,3045378,0,1,4,19,1,0,0,0,1,0,29642,1,1,1
13,1500,941518,0,0,1,70,48,48,2,2,0,1,35151,1,0,0
15,800,3385632,0,0,1,32,13,12,0,1,0,0,30349,1,1,0
14,1200,1442334,1,1,1,28,10,9,0,1,0,0,45438,1,0,0
7,2500,1113383,1,1,0,62,41,41,0,1,0,0,22077,1,0,0
13,1500,3420070,1,1,2,37,15,15,1,2,1,3,35650,1,0,1
7,1200,4252424,0,1,0,64,42,41,0,0,0,0,53442,1,0,0
15,1000,2743647,1,0,0,59,40,40,0,0,0,3,55666,1,0,0
12,1500,612683,1,1,0,34,12,12,0,0,1,0,30527,0,0,0
17,1500,4997319,1,0,1,22,4,4,1,0,0,0,59561,0,0,1
14,1200,997757,1,1,1,50,28,28,0,0,1,1,21672,1,0,0
12,2500,3366247,1,0,1,68,47,46,0,0,1,0,45185,1,0,0
8,800,1131299,1,1,1,61,39,38,1,0,0,0,34268,1,0,0
14,1200,1349892,0,0,0,42,21,21,0,0,0,0,46328,1,0,0
12,2500,337972,1,0,0,24,2,1,0,0,1,0,31772,0,0,0
0,1200,1173356,1,1,1,51,32,32,0,0,1,3,19576,1,0,0
6,1200,1296552,1,1,1,70,52,51,0,0,0,0,27352,1,1,0
8,1500,1021580,1,1,1,32,11,11,0,0,1,0,53750,1,0,0
0,2000,2751996,0,0,1,69,47,46,0,0,0,1,54317,1,0,0
11,1000,3943688,1,0,1,30,10,10,0,0,0,0,48192,1,0,0
7,2500,3574807,0,0,0,49,29,29,1,1,0,3,29322,1,1,1
10,2000,3678191,0,0,0,56,38,38,0,0,1,0,23235,1,0,0
18,1000,3619435,0,0,0,31,10,10,0,1,1,0,39400,1,1,1
16,1500,3103777,1,1,1,37,18,17,2,0,0,0,58005,1,0,1
7,1200,3626909,1,0,1,33,14,14,0,0,1,0,31191,1,0,1
2,1200,479869,0,1,0,47,29,29,0,0,0,0,4598,1,0,0
2,2000,1933751,1,0,1,58,39,39,0,0,1,0,14258,1,0,0
0,2500,3074924,1,0,3,36,14,14,0,0,1,0,27248,0,0,0
